scenario_id,model_id,kind,path,score,status
IMG-GEDIT-15,,original_input (source),inputs/IMG-GEDIT-15/IMG-GEDIT-15-source.png,,frozen
IMG-GEDIT-15,gemini-3-pro-image-vertex,output,outputs/image/IMG-GEDIT-15/gemini-3-pro-image-vertex.png,,measured
IMG-GEDIT-16,,original_input (source),inputs/IMG-GEDIT-16/IMG-GEDIT-16-source.png,,frozen
IMG-GEDIT-16,,original_input (reference),inputs/IMG-GEDIT-16/IMG-GEDIT-16-reference.png,,frozen
IMG-GEDIT-16,gemini-3-pro-image-vertex,output,outputs/image/IMG-GEDIT-16/gemini-3-pro-image-vertex.png,,measured
IMG-GT2I-15,gemini-3-pro-image-vertex,output,outputs/image/IMG-GT2I-15/gemini-3-pro-image-vertex.png,,measured
IMG-GT2I-18,gemini-3-pro-image-vertex,output,outputs/image/IMG-GT2I-18/gemini-3-pro-image-vertex.png,,measured
IMG-GT2I-19,gemini-3-pro-image-vertex,output,outputs/image/IMG-GT2I-19/gemini-3-pro-image-vertex.png,,measured
IMG-GT2I-28,gemini-3-pro-image-vertex,output,outputs/image/IMG-GT2I-28/gemini-3-pro-image-vertex.png,,measured
IMG-GT2I-30,gemini-3-pro-image-vertex,output,outputs/image/IMG-GT2I-30/gemini-3-pro-image-vertex.png,,measured
