removed_id,kept_instead,reason
IMG-BRAND-02,IMG-BRAND-07,Same capability: new scene around an unchanged product
IMG-BRAND-10,IMG-GAME-21,"Same capability: clean cutout, subject untouched"
IMG-CHAR-01,IMG-GAME-10,Same capability: one identity across several poses
IMG-CHAR-02,IMG-GAME-36,Same capability: one identity under three lighting setups
IMG-CHAR-03,IMG-GAME-13,Same capability: identity kept through age change
IMG-CHAR-04,IMG-GAME-16,Same capability: wardrobe swap with the face locked
IMG-CHAR-05,IMG-GAME-38,"Same capability: two references in one frame, no blending"
IMG-CHAR-06,IMG-VIEW-36,Same capability: rotate a person about 35° to three-quarter
IMG-CHAR-07,IMG-GAME-09,Same capability: expression set on one identity
IMG-CHAR-08,IMG-GAME-39,Same capability: multi-panel story with identity held
IMG-GAME-06,IMG-GAME-29,Same capability: enemy concept from a brief (GAME-06 also has mismatched checks)
IMG-GAME-08,IMG-GAME-14,Same capability: one figure in three escalating kit states (GAME-08 also asks for a reference it has no input for)
IMG-GAME-15,IMG-BRAND-09,"Same capability: recolour, geometry locked; GAME-50 covers the multi-panel version"
IMG-GAME-18,IMG-GAME-49,Same capability: same kit refitted to a different body
IMG-GAME-19,IMG-GAME-56,Same capability: flat-fill stylisation of the same person
IMG-GAME-23,IMG-GAME-27,Same capability: three figures sharing one style and palette
IMG-GAME-28,IMG-GAME-01,Same capability: single-figure concept from a list of named kit
IMG-GAME-32,IMG-GAME-34,Same capability: single-figure concept with negative constraints
IMG-GAME-43,IMG-GAME-16,"Same capability: civilian to tactical kit, face locked (GAME-43 title also contradicts its prompt)"
IMG-GAME-46,IMG-GAME-16,"Same capability: themed wardrobe swap, face locked"
IMG-GAME-47,IMG-GAME-17,Same capability: damage/corruption state over an intact base design
IMG-GAME-48,IMG-GAME-49,Same capability: same kit refitted to a different body
IMG-GAME-51,IMG-GAME-14,Same capability: three-tier progression (GAME-51 also has mismatched checks)
IMG-GAME-52,IMG-GAME-04,Same capability: low-poly mobile look
IMG-GAME-60,IMG-GAME-22,"Same capability: character plus exact name text, figure unchanged"
IMG-LE-09,IMG-LE-04,Same capability: remove an overlay/text and restore what is behind
IMG-STY-01,IMG-STY-09,Same capability: whole-image painterly conversion; STY-09 adds a measurable blend
IMG-STY-02,IMG-GAME-55,Same capability: photo to clean line art
IMG-UI-01,IMG-UI-07,Same capability: form screen from a spec; UI-07 adds an error state
IMG-UI-09,IMG-UI-10,Same capability: layout with an empty reserved placeholder
IMG-VIEW-01,IMG-VIEW-25,Same capability: rigid object to three-quarter; settee is the harder version
IMG-VIEW-02,IMG-VIEW-18,Same capability: remove perspective to an elevation view
IMG-VIEW-03,IMG-VIEW-23,Same capability: 90° move to an unseen end of the same bottle
IMG-VIEW-04,IMG-VIEW-23,Same capability: unseen face of the same bottle
IMG-VIEW-13,IMG-VIEW-60,Same capability: lowered camera on the same kind of standing figure
IMG-VIEW-28,IMG-VIEW-16,Same capability: flat artwork onto an angled 3D mockup with text kept
IMG-VIEW-30,IMG-VIEW-38,Same capability: camera height change on a group (VIEW-30 also has mismatched checks)
IMG-VIEW-32,IMG-VIEW-06,Same capability: real camera move to a new position inside a room
IMG-VIEW-34,IMG-VIEW-29,Same capability: reverse angle across an interior
IMG-VIEW-35,IMG-VIEW-11,Same capability: tabletop food/drink to overhead (VIEW-35 also has mismatched checks)
IMG-VIEW-37,IMG-VIEW-51,Same subject and view; VIEW-51 includes the rear view plus two more
IMG-VIEW-40,IMG-VIEW-11,"Same capability, reverse direction: tabletop overhead ↔ 45°"
IMG-VIEW-42,IMG-VIEW-17,Same capability: planar rectification with glare removal
IMG-VIEW-45,IMG-VIEW-44,Same capability: rectify flat content keeping text and geometry
IMG-VIEW-55,IMG-VIEW-12,Same capability: rear view of a standing person
IMG-VIEW-57,IMG-VIEW-59,Same capability: group reprojected to an overhead plan
