run_id,task,scenario_id,model_id,state,scenario_status,score,score_status,latency_ms,attempts,cost_usd,error
2026-08-31_182420_image,text_to_image,img-001,gemini-3-1-flash-image,planned,in_progress,,,,0,,
2026-08-31_182420_image,text_to_image,img-001,gpt-image-1-medium,planned,in_progress,,,,0,,
2026-08-31_182420_image,text_to_image,img-002,gemini-3-1-flash-image,planned,in_progress,,,,0,,
2026-08-31_182420_image,text_to_image,img-002,gpt-image-1-medium,planned,in_progress,,,,0,,
2026-08-31_182420_image,text_to_image,img-003,gemini-3-1-flash-image,planned,in_progress,,,,0,,
2026-08-31_182420_image,text_to_image,img-003,gpt-image-1-medium,planned,in_progress,,,,0,,
2026-09-01_125249_image,text_to_image,img-001,gemini-3-1-flash-image-vertex,scored,completed,10.0,scored,12672,4,0.067,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource has been exhausted (e.g. check quota).', 'status': "
2026-09-01_125249_image,text_to_image,img-002,gemini-3-1-flash-image-vertex,scored,completed,10.0,scored,11420,5,0.067,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource has been exhausted (e.g. check quota).', 'status': "
2026-09-01_125249_image,text_to_image,img-003,gemini-3-1-flash-image-vertex,scored,completed,9.8,scored,12962,1,0.067,
2026-09-01_163810_image,text_to_image,img-001,gemini-3-1-flash-image-vertex,scored,completed,10.0,scored,11964,1,0.067,
2026-09-01_163810_image,text_to_image,img-001,gemini-3-pro-image-vertex,scored,completed,10.0,scored,18725,1,0.134,
2026-09-01_163810_image,text_to_image,img-002,gemini-3-1-flash-image-vertex,scored,completed,10.0,scored,10846,1,0.067,
2026-09-01_163810_image,text_to_image,img-002,gemini-3-pro-image-vertex,scored,completed,10.0,scored,20287,1,0.134,
2026-09-01_163810_image,text_to_image,img-003,gemini-3-1-flash-image-vertex,scored,completed,9.3,scored,13056,1,0.067,
2026-09-01_163810_image,text_to_image,img-003,gemini-3-pro-image-vertex,scored,completed,9.9,scored,18609,1,0.134,
2026-09-01_192948_image,text_to_image,IMG-TXT-01,gemini-3-1-flash-image-vertex,scored,completed,10.0,scored,10395,1,0.067,
2026-09-01_192948_image,text_to_image,IMG-TXT-01,gemini-3-pro-image-vertex,scored,completed,10.0,scored,34089,2,0.134,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to "
2026-09-01_192948_image,text_to_image,IMG-UI-01,gemini-3-1-flash-image-vertex,scored,completed,9.4757,scored,11012,1,0.067,
2026-09-01_192948_image,text_to_image,IMG-UI-01,gemini-3-pro-image-vertex,scored,completed,9.1345,scored,19357,1,0.134,
2026-09-01_193618_image,text_to_image,IMG-TXT-01,gpt-image-2-medium,scored,completed,9.0186,scored,46577,1,0.0416,
2026-09-01_193618_image,text_to_image,IMG-TXT-01,gemini-3-1-flash-image-vertex,scored,completed,9.8,scored,10958,1,0.067,
2026-09-01_193618_image,text_to_image,IMG-TXT-01,gemini-3-pro-image-vertex,scored,completed,10.0,scored,38207,1,0.134,
