scenario_id,model_id,kind,path,score,status
VID-CIN-01,omni-flash-vertex,output,outputs/video/VID-CIN-01/omni-flash-vertex.mp4,,measured
VID-CIN-01,seedance-2-5,output,outputs/video/VID-CIN-01/seedance-2-5.mp4,,measured
VID-CIN-02,omni-flash-vertex,output,outputs/video/VID-CIN-02/omni-flash-vertex.mp4,,measured
VID-CIN-02,seedance-2-5,output,outputs/video/VID-CIN-02/seedance-2-5.mp4,,measured
VID-CIN-03,omni-flash-vertex,output,outputs/video/VID-CIN-03/omni-flash-vertex.mp4,,measured
VID-CIN-03,seedance-2-5,output,outputs/video/VID-CIN-03/seedance-2-5.mp4,,measured
VID-CIN-04,omni-flash-vertex,output,outputs/video/VID-CIN-04/omni-flash-vertex.mp4,,measured
VID-CIN-04,seedance-2-5,output,outputs/video/VID-CIN-04/seedance-2-5.mp4,,measured
VID-PHY-01,omni-flash-vertex,output,outputs/video/VID-PHY-01/omni-flash-vertex.mp4,,measured
VID-PHY-01,seedance-2-5,output,outputs/video/VID-PHY-01/seedance-2-5.mp4,,measured
VID-PHY-02,omni-flash-vertex,output,outputs/video/VID-PHY-02/omni-flash-vertex.mp4,,measured
VID-PHY-02,seedance-2-5,output,outputs/video/VID-PHY-02/seedance-2-5.mp4,,measured
VID-PHY-03,omni-flash-vertex,output,outputs/video/VID-PHY-03/omni-flash-vertex.mp4,,measured
VID-PHY-03,seedance-2-5,output,outputs/video/VID-PHY-03/seedance-2-5.mp4,,measured
VID-PHY-04,omni-flash-vertex,output,outputs/video/VID-PHY-04/omni-flash-vertex.mp4,,measured
VID-PHY-04,seedance-2-5,output,outputs/video/VID-PHY-04/seedance-2-5.mp4,,measured
VID-PHY-05,omni-flash-vertex,output,outputs/video/VID-PHY-05/omni-flash-vertex.mp4,,measured
VID-PHY-05,seedance-2-5,output,outputs/video/VID-PHY-05/seedance-2-5.mp4,,measured
VID-PHY-06,omni-flash-vertex,output,outputs/video/VID-PHY-06/omni-flash-vertex.mp4,,measured
VID-PHY-06,seedance-2-5,output,outputs/video/VID-PHY-06/seedance-2-5.mp4,,measured
VID-PHY-07,omni-flash-vertex,output,outputs/video/VID-PHY-07/omni-flash-vertex.mp4,,measured
VID-PHY-07,seedance-2-5,output,outputs/video/VID-PHY-07/seedance-2-5.mp4,,measured
VID-PHY-08,omni-flash-vertex,output,outputs/video/VID-PHY-08/omni-flash-vertex.mp4,,measured
VID-PHY-08,seedance-2-5,output,outputs/video/VID-PHY-08/seedance-2-5.mp4,,measured
VID-PHY-09,omni-flash-vertex,output,outputs/video/VID-PHY-09/omni-flash-vertex.mp4,,measured
VID-PHY-09,seedance-2-5,output,outputs/video/VID-PHY-09/seedance-2-5.mp4,,measured
VID-PHY-10,omni-flash-vertex,output,outputs/video/VID-PHY-10/omni-flash-vertex.mp4,,measured
VID-PHY-10,seedance-2-5,output,outputs/video/VID-PHY-10/seedance-2-5.mp4,,measured
