tier,id,source,use_case_family,scenario,task,primary_industry,why
high,IMG-GT2I-15,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — BGMI,Final-circle HUD screenshot,text_to_image,Gaming,Seven display elements in fixed positions plus four exact strings on one screen
high,IMG-GEDIT-15,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Clash of Clans,Village from ground level,image_edit,Gaming,Isometric village reprojected to a ground-level view it never shows
high,IMG-GEDIT-16,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Clash of Clans,Queen joins the attack,image_edit,Gaming,"Two-input composite: reference character placed at the right scale, light and shadow"
high,IMG-GT2I-18,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Clash of Clans,Town Hall war base layout,text_to_image,Gaming,"Exact counts of five building types inside two wall rings, isometric"
high,IMG-GT2I-19,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Clash of Clans,Barbarian and archer wall push,text_to_image,Gaming,Exact counts of 32 small figures with no merges or duplicates
high,IMG-GT2I-28,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Minecraft,First night outside the shelter,text_to_image,Gaming,"Stepped block lighting plus exact small-icon counts (9 slots, 10 hearts, 10 food)"
high,IMG-GT2I-30,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Street Fighter 6,"Fireball launch, both palms",text_to_image,Gaming,"Close two-hand anatomy in a specific gesture, five-digit accuracy under scrutiny"
medium,IMG-GEDIT-09,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — BGMI,Grappling hook swapped for the pan,image_edit,Gaming,Object swap in a raised hand with finger re-pose; chain and beam must also go
medium,IMG-GEDIT-10,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — BGMI,Into the ghillie suit,image_edit,Gaming,Full outfit replacement with pose and slung rifle held
medium,IMG-GT2I-14,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — BGMI,Drop view over the island,text_to_image,Gaming,"Named-place layout with spatial relations plus small exact counts (4 freefallers, 2 chutes)"
medium,IMG-GT2I-16,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — BGMI,First-person window hold,text_to_image,Gaming,Two-hand grip with finger placement and three named rifle attachments
medium,IMG-GEDIT-13,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Clash of Clans,Remove the guide from the shot,image_edit,Gaming,Large removal with trees and the diagonal divider rebuilt behind it
medium,IMG-GEDIT-14,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Clash of Clans,Rename the clan on the war map,image_edit,Gaming,In-place text replacement matching the game font and outline
medium,IMG-GT2I-21,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Clash of Clans,Lightning spells on air defence,text_to_image,Gaming,"Effects frozen over a subject that must stay readable, with small exact counts"
medium,IMG-GEDIT-17,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Asphalt 9,Club livery repaint,image_edit,Gaming,"Livery repaint that must follow body geometry, rest of frame locked"
medium,IMG-GEDIT-18,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Asphalt 9,Day race to night race,image_edit,Gaming,Day-to-night relight with light sources acting on nearby surfaces
medium,IMG-GEDIT-20,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Asphalt 9,"Five cars, new location",image_edit,Gaming,Background swap with five objects held identical and relit
medium,IMG-GT2I-22,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Asphalt 9,Barrel roll off a ramp,text_to_image,Gaming,Mid-air roll with believable body orientation and selective motion blur
medium,IMG-GT2I-23,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Asphalt 9,Rain-soaked neon city race,text_to_image,Gaming,Reflections must match light sources above; two cars kept distinct
medium,IMG-GT2I-25,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Asphalt 9,Club livery with race number,text_to_image,Gaming,Two exact strings wrapped on curved bodywork
medium,IMG-GEDIT-21,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Minecraft,Real house to block build,image_edit,Gaming,Photo rebuilt from cubes with window and floor layout held
medium,IMG-GEDIT-22,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Minecraft,Sharpen a blurry build screenshot,image_edit,Gaming,4x restoration scored against a ground truth; hard edges must stay crisp
medium,IMG-GT2I-26,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Minecraft,"Village sunrise, pure blocks",text_to_image,Gaming,Strict style lock across every object in a busy scene
medium,IMG-GT2I-27,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Minecraft,Diamond sword hits a zombie,text_to_image,Gaming,Two figures in contact with blocky proportions and hit effects
medium,IMG-GT2I-29,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Minecraft,Nether portal above the valley,text_to_image,Gaming,Exact portal size plus three depth layers with consistent scale
medium,IMG-GEDIT-26,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Street Fighter 6,Alternate colour for the jacket,image_edit,Gaming,Recolour one garment inside a frame full of saturated paint colours
medium,IMG-GEDIT-27,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Street Fighter 6,Temple duel moved downtown,image_edit,Gaming,"Background swap with two fighters and an effect held, relit"
medium,IMG-GEDIT-28,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Street Fighter 6,Ultrawide city wallpaper,image_edit,Gaming,Outpainting both sides with perspective lines continuous across seams
medium,IMG-GT2I-31,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Street Fighter 6,"Cover fighter, full body",text_to_image,Gaming,Full-body character with many specific outfit pieces
medium,IMG-GT2I-32,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Street Fighter 6,Drive Parry bubble,text_to_image,Gaming,"Translucent effect with correct contact point, both bodies visible"
medium,IMG-GT2I-33,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Street Fighter 6,Upside-down spinning kick,text_to_image,Gaming,Inverted mid-air pose that must stay anatomically believable
medium,IMG-GEDIT-30,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Genshin Impact,Wolf's bandana to blue,image_edit,Gaming,Recolour one red item while other reds in the frame stay red
medium,IMG-GEDIT-31,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Genshin Impact,Ice dancer from the side,image_edit,Gaming,Rotate a character 90 degrees to an unseen side view
medium,IMG-GEDIT-32,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Genshin Impact,Remove the little snowman,image_edit,Gaming,Remove a partly occluded object and rebuild the door and steps behind it
medium,IMG-GT2I-36,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Genshin Impact,Gliding over the city of wind,text_to_image,Gaming,Style lock across characters and landscape with several named elements
low,IMG-GEDIT-11,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — BGMI,Castle map to snow season,image_edit,Gaming,Seasonal restyle; outlines held
low,IMG-GEDIT-12,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — BGMI,Blur the player name,image_edit,Gaming,Blur one name tag while nearby labels stay sharp
low,IMG-GT2I-17,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — BGMI,Airdrop phone wallpaper,text_to_image,Gaming,Single scene with a composition rule (clear middle third)
low,IMG-GT2I-20,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Clash of Clans,Barbarian battle-cry portrait,text_to_image,Gaming,Single character expression portrait
low,IMG-GEDIT-19,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Asphalt 9,Add the speedometer,image_edit,Gaming,Add one flat overlay with one exact string
low,IMG-GT2I-24,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Asphalt 9,Garage unlock reveal,text_to_image,Gaming,Single vehicle on a turntable
low,IMG-GEDIT-23,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Minecraft,Sneaky mob behind a friend,image_edit,Gaming,Add one object with matching scale and light
low,IMG-GEDIT-24,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Minecraft,Dye one sheep pink,image_edit,Gaming,Recolour one clearly distinct object
low,IMG-GEDIT-25,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Street Fighter 6,Snarl to cocky grin,image_edit,Gaming,Expression change only
low,IMG-GEDIT-29,"Gaming scenarios v1 (6 games, 2026-09-18)",Gaming — Genshin Impact,Real karst river to game style,image_edit,Gaming,Global restyle of a photo with layout held
