run_id,task,scenario_id,model_id,state,scenario_status,score,score_status,latency_ms,attempts,cost_usd,error
2026-09-17_121726_video,video_edit,VID-GEDIT-01,omni-flash-vertex,scored,completed,7.25,scored,107074,1,0.962012,
2026-09-17_121726_video,video_edit,VID-GEDIT-01,seedance-2-5,scored,completed,10.0,scored,285306,3,2.70603,"403: {""error"":{""code"":""AccountOverdueError"",""message"":""The request failed because your account has an overdue balance. R"
2026-09-17_121726_video,video_edit,VID-GEDIT-02,omni-flash-vertex,scored,completed,6.0,scored,96285,1,0.962037,
2026-09-17_121726_video,video_edit,VID-GEDIT-02,seedance-2-5,scored,completed,9.5,scored,274127,3,2.70603,"403: {""error"":{""code"":""AccountOverdueError"",""message"":""The request failed because your account has an overdue balance. R"
2026-09-17_121726_video,video_edit,VID-GEDIT-03,omni-flash-vertex,scored,completed,7.25,scored,95807,1,0.962013,
2026-09-17_121726_video,video_edit,VID-GEDIT-03,seedance-2-5,scored,completed,10.0,scored,322724,3,2.70603,"403: {""error"":{""code"":""AccountOverdueError"",""message"":""The request failed because your account has an overdue balance. R"
2026-09-17_121726_video,video_edit,VID-GEDIT-04,omni-flash-vertex,scored,completed,10.0,scored,94306,1,0.962006,
2026-09-17_121726_video,video_edit,VID-GEDIT-04,seedance-2-5,scored,completed,4.25,scored,229922,3,2.70603,"403: {""error"":{""code"":""AccountOverdueError"",""message"":""The request failed because your account has an overdue balance. R"
2026-09-17_121726_video,video_edit,VID-GEDIT-05,omni-flash-vertex,scored,completed,9.0,scored,90973,1,0.962102,
2026-09-17_121726_video,video_edit,VID-GEDIT-05,seedance-2-5,scored,completed,5.0,scored,483382,3,2.70603,"403: {""error"":{""code"":""AccountOverdueError"",""message"":""The request failed because your account has an overdue balance. R"
2026-09-17_121726_video,video_edit,VID-GEDIT-06,omni-flash-vertex,scored,completed,10.0,scored,113373,1,0.962078,
2026-09-17_121726_video,video_edit,VID-GEDIT-06,seedance-2-5,scored,completed,9.0,scored,293360,3,2.70603,"403: {""error"":{""code"":""AccountOverdueError"",""message"":""The request failed because your account has an overdue balance. R"
2026-09-17_121726_video,video_edit,VID-GEDIT-07,omni-flash-vertex,scored,completed,8.125,scored,114679,1,0.962034,
2026-09-17_121726_video,video_edit,VID-GEDIT-07,seedance-2-5,scored,completed,9.5,scored,439021,3,2.70603,"403: {""error"":{""code"":""AccountOverdueError"",""message"":""The request failed because your account has an overdue balance. R"
2026-09-17_121726_video,video_edit,VID-GEDIT-08,omni-flash-vertex,scored,completed,8.25,scored,102038,1,0.962073,
2026-09-17_121726_video,video_edit,VID-GEDIT-08,seedance-2-5,scored,completed,2.25,scored,316421,3,2.70603,"403: {""error"":{""code"":""AccountOverdueError"",""message"":""The request failed because your account has an overdue balance. R"
2026-09-17_121726_video,video_edit,VID-GEDIT-09,omni-flash-vertex,scored,completed,10.0,scored,110907,1,0.962106,
2026-09-17_121726_video,video_edit,VID-GEDIT-09,seedance-2-5,scored,completed,6.0,scored,352825,3,2.70603,"403: {""error"":{""code"":""AccountOverdueError"",""message"":""The request failed because your account has an overdue balance. R"
2026-09-17_121726_video,video_edit,VID-GEDIT-10,omni-flash-vertex,scored,completed,5.0,scored,110785,1,0.962094,
