scenario_id,model_id,kind,path,score,status
IMG-BRAND-01,,original_input (source),inputs/IMG-BRAND-01/IMG-BRAND-01-source.png,,frozen
IMG-BRAND-01,gemini-3-pro-image-vertex,output,outputs/image/IMG-BRAND-01/gemini-3-pro-image-vertex.png,10.0,scored
IMG-BRAND-01,gpt-image-2-medium,output,outputs/image/IMG-BRAND-01/gpt-image-2-medium.png,10.0,scored
IMG-BRAND-02,,original_input (source),inputs/IMG-BRAND-02/IMG-BRAND-02-source.png,,frozen
IMG-BRAND-02,gemini-3-pro-image-vertex,output,outputs/image/IMG-BRAND-02/gemini-3-pro-image-vertex.png,10.0,scored
IMG-BRAND-02,gpt-image-2-medium,output,outputs/image/IMG-BRAND-02/gpt-image-2-medium.png,10.0,scored
IMG-BRAND-03,,original_input (source),inputs/IMG-BRAND-03/IMG-BRAND-03-source.png,,frozen
IMG-BRAND-03,gemini-3-pro-image-vertex,output,outputs/image/IMG-BRAND-03/gemini-3-pro-image-vertex.png,9.1111,scored
IMG-BRAND-03,gpt-image-2-medium,output,outputs/image/IMG-BRAND-03/gpt-image-2-medium.png,10.0,scored
IMG-BRAND-04,,original_input (source),inputs/IMG-BRAND-04/IMG-BRAND-04-source.png,,frozen
IMG-BRAND-04,,original_input (reference),inputs/IMG-BRAND-04/IMG-BRAND-04-reference.png,,frozen
IMG-BRAND-04,gemini-3-pro-image-vertex,output,outputs/image/IMG-BRAND-04/gemini-3-pro-image-vertex.png,9.6667,scored
IMG-BRAND-04,gpt-image-2-medium,output,outputs/image/IMG-BRAND-04/gpt-image-2-medium.png,8.8333,scored
IMG-BRAND-05,,original_input (source),inputs/IMG-BRAND-05/IMG-BRAND-05-source.png,,frozen
IMG-BRAND-05,,original_input (reference),inputs/IMG-BRAND-05/IMG-BRAND-05-reference.png,,frozen
IMG-BRAND-05,,original_input (reference2),inputs/IMG-BRAND-05/IMG-BRAND-05-reference2.png,,frozen
IMG-BRAND-05,gemini-3-pro-image-vertex,output,outputs/image/IMG-BRAND-05/gemini-3-pro-image-vertex.png,8.3319,scored
IMG-BRAND-05,gpt-image-2-medium,output,outputs/image/IMG-BRAND-05/gpt-image-2-medium.png,7.0674,scored
IMG-BRAND-06,,original_input (source),inputs/IMG-BRAND-06/IMG-BRAND-06-source.png,,frozen
IMG-BRAND-06,gemini-3-pro-image-vertex,output,outputs/image/IMG-BRAND-06/gemini-3-pro-image-vertex.png,8.5,scored
IMG-BRAND-06,gpt-image-2-medium,output,outputs/image/IMG-BRAND-06/gpt-image-2-medium.png,10.0,scored
IMG-BRAND-07,,original_input (source),inputs/IMG-BRAND-07/IMG-BRAND-07-source.png,,frozen
IMG-BRAND-07,gemini-3-pro-image-vertex,output,outputs/image/IMG-BRAND-07/gemini-3-pro-image-vertex.png,10.0,scored
IMG-BRAND-07,gpt-image-2-medium,output,outputs/image/IMG-BRAND-07/gpt-image-2-medium.png,10.0,scored
IMG-BRAND-08,,original_input (source),inputs/IMG-BRAND-08/IMG-BRAND-08-source.png,,frozen
IMG-BRAND-08,gemini-3-pro-image-vertex,output,outputs/image/IMG-BRAND-08/gemini-3-pro-image-vertex.png,7.9444,scored
IMG-BRAND-08,gpt-image-2-medium,output,outputs/image/IMG-BRAND-08/gpt-image-2-medium.png,7.4167,scored
IMG-BRAND-09,,original_input (source),inputs/IMG-BRAND-09/IMG-BRAND-09-source.png,,frozen
IMG-BRAND-09,gemini-3-pro-image-vertex,output,outputs/image/IMG-BRAND-09/gemini-3-pro-image-vertex.png,9.5444,scored
IMG-BRAND-09,gpt-image-2-medium,output,outputs/image/IMG-BRAND-09/gpt-image-2-medium.png,9.7444,scored
IMG-BRAND-10,,original_input (source),inputs/IMG-BRAND-10/IMG-BRAND-10-source.png,,frozen
IMG-BRAND-10,gemini-3-pro-image-vertex,output,outputs/image/IMG-BRAND-10/gemini-3-pro-image-vertex.png,10.0,scored
IMG-BRAND-10,gpt-image-2-medium,output,outputs/image/IMG-BRAND-10/gpt-image-2-medium.png,9.1111,scored
IMG-CHAR-01,,original_input (source),inputs/IMG-CHAR-01/IMG-CHAR-01-source.png,,frozen
