tier,id,source,use_case_family,scenario,task,primary_industry,why
high,IMG-LE-10,Existing 60 (already run in pairs A/B/C),Localised editing / object removal,Attribute-selective removal,image_edit,Ecommerce & Retail,Attribute-selective removal across many small items; weakest scenario in all three pairs (Lite 4.8)
high,IMG-BRAND-04,Existing 60 (already run in pairs A/B/C),Product & brand imagery,Logo geometry on packaging,image_edit,Ecommerce & Retail,"Two-input logo composite at an exact size ratio; Lite arm invalid, Flash 7.2 vs Pro 9.7"
high,IMG-BRAND-05,Existing 60 (already run in pairs A/B/C),Product & brand imagery,Multi-SKU line-up,image_edit,Ecommerce & Retail,"Three references, equal scale, every label legible; no arm above 9.2"
high,IMG-STY-03,Existing 60 (already run in pairs A/B/C),Style transfer,Apply a supplied style reference,image_edit,Gaming,Style from one input onto content of another; only Pro scored well (10 vs 3.0-5.7)
high,IMG-STY-05,Existing 60 (already run in pairs A/B/C),Style transfer,Photo to isometric render,image_edit,Gaming,Photo to isometric with layout held — a geometric reprojection; Flash 3.3
high,IMG-UI-06,Existing 60 (already run in pairs A/B/C),UI mockups & layout,Responsive pair,image_edit,Gaming,"Two reflowed layouts with nothing dropped; Flash and Lite both 6.4, Pro 10"
high,IMG-GAME-03,Gaming character design v4,Concept & ideation,Operator turnaround / model sheet,text_to_image,Gaming,"Four-view turnaround with identical kit and a shared horizon, from text alone"
high,IMG-GAME-05,Gaming character design v4,Concept & ideation,Tactical gear callout sheet,text_to_image,Gaming,Four exact labels plus leader lines that must land on the right parts
high,IMG-GAME-30,Gaming character design v4,Concept & ideation,Skin locked to a named rarity palette,text_to_image,Gaming,"Five-colour palette lock across subject, skin and background — zero stray hues"
high,IMG-GAME-10,Gaming character design v4,Identity & consistency,Combat pose sheet from one reference,image_edit,Gaming,"Four combat poses of a bulky suit with extreme foreshortening, identity held"
high,IMG-GAME-11,Gaming character design v4,Identity & consistency,Turnaround generated from a single front view,image_edit,Gaming,Three unseen views extrapolated from one front view
high,IMG-GAME-12,Gaming character design v4,Identity & consistency,Squad lineup from three separate references,image_edit,Gaming,Three references in one frame with zero feature blending
high,IMG-GAME-35,Gaming character design v4,Identity & consistency,Eight-emote sticker set,image_edit,Gaming,"Eight stickers, identity and outline weight held at small scale"
high,IMG-GAME-38,Gaming character design v4,Identity & consistency,Two operators in a takedown interaction,image_edit,Gaming,Two references in physical contact with correct scale and contact points
high,IMG-GAME-41,Gaming character design v4,Identity & consistency,Gear detail callout sheet,image_edit,Gaming,Full figure plus four magnified details that must agree with it
high,IMG-GAME-42,Gaming character design v4,Identity & consistency,Weapon grip and hand study,image_edit,Gaming,Three close hand-grip studies — five-digit anatomy under scrutiny
high,IMG-GAME-44,Gaming character design v4,Identity & consistency,"Operator, silhouette and lobby icon in one sheet",image_edit,Gaming,"Silhouette must match the character at IoU >0.95, plus a matching icon"
high,IMG-GAME-53,Gaming character design v4,Style & production assets,Third-person animation pose strip,image_edit,Gaming,"Four-frame jog cycle: real foot-contact changes, identical widths and palette"
high,IMG-GAME-56,Gaming character design v4,Style & production assets,Flat-colour sheet with a palette strip,image_edit,Gaming,Flat fills plus an eight-swatch strip that must match the figure's own colours
high,IMG-GAME-49,Gaming character design v4,Variants & progression,Three body types in one loadout,image_edit,Gaming,"Three body types, identical kit, same face on all three"
high,IMG-GAME-50,Gaming character design v4,Variants & progression,Palette-swap enemy family,image_edit,Gaming,Four colourways with geometry identical across panels (pHash <=8)
high,IMG-VIEW-51,Viewing angle v3,People — single and group viewpoints,Head turnaround from a single front view,image_edit,Micro-drama & entertainment,Head turnaround (three views) scored against museum photos
high,IMG-VIEW-53,Viewing angle v3,People — single and group viewpoints,Standing person seen from directly overhead,image_edit,Micro-drama & entertainment,Standing person seen from directly overhead
high,IMG-VIEW-54,Viewing angle v3,People — single and group viewpoints,One person at three camera heights,image_edit,Micro-drama & entertainment,One person at three camera heights with correct horizon shift
high,IMG-VIEW-56,Viewing angle v3,People — single and group viewpoints,Reverse angle on a group in conversation,image_edit,Micro-drama & entertainment,180° reverse angle on a group
high,IMG-VIEW-58,Viewing angle v3,People — single and group viewpoints,View along the line of a group portrait,image_edit,Micro-drama & entertainment,View along a line of seven with correct occlusion and order
high,IMG-VIEW-59,Viewing angle v3,People — single and group viewpoints,Overhead arrangement of a group portrait,image_edit,Micro-drama & entertainment,Group of seven to overhead with exact headcount and rows
high,IMG-VIEW-38,Viewing angle v3,"People, food & fashion",Raise the camera so every face is visible,image_edit,Micro-drama & entertainment,"Raise camera: seven faces, one-to-one identity, nobody added"
high,IMG-VIEW-24,Viewing angle v3,Product & object rotation,Side profile to a three-quarter pair shot,image_edit,Ecommerce & Retail,"Single shoe to a mirrored pair — a true mirror, not a copy"
high,IMG-VIEW-27,Viewing angle v3,Product & object rotation,Reveal the port edge of a device,image_edit,Ecommerce & Retail,"90° yaw to an unseen port edge, scored against a real photo"
high,IMG-VIEW-06,Viewing angle v3,Scene & interior re-angle,Eye-level room to a high corner angle,image_edit,Ecommerce & Retail,Room re-shot from a raised corner with every item in place
high,IMG-VIEW-07,Viewing angle v3,Scene & interior re-angle,Room photo to a top-down layout view,image_edit,Ecommerce & Retail,Room reprojected to plan view with layout preserved
high,IMG-VIEW-08,Viewing angle v3,Scene & interior re-angle,Street-level building to a drone aerial,image_edit,Ecommerce & Retail,Street-level to 40 m drone view — roof and surroundings invented
high,IMG-VIEW-09,Viewing angle v3,Scene & interior re-angle,Isolate one person from a group at a new angle,image_edit,Micro-drama & entertainment,Extract one person from a group and re-angle them
high,IMG-VIEW-10,Viewing angle v3,Scene & interior re-angle,Pull the camera back to a wider view,image_edit,Ecommerce & Retail,"Real dolly-back with changed perspective, not a zoom-out"
high,IMG-VIEW-29,Viewing angle v3,Scene & interior re-angle,Kitchen seen from the opposite corner,image_edit,Ecommerce & Retail,Kitchen re-shot from the opposite corner
high,IMG-VIEW-31,Viewing angle v3,Scene & interior re-angle,Front of a building to its side elevation,image_edit,Ecommerce & Retail,Building front to its unseen side elevation
high,IMG-VIEW-33,Viewing angle v3,Scene & interior re-angle,Angled shelf to a straight-on planogram elevation,image_edit,Ecommerce & Retail,Shelf rectification with every product order kept and labels legible
high,IMG-VIEW-16,Viewing angle v3,Technical & corrective,Flat screenshot to an angled device mockup,image_edit,Ads,Flat UI onto an angled phone with every string legible
high,IMG-VIEW-17,Viewing angle v3,Technical & corrective,Oblique photo of a document to a flat-on scan,image_edit,Ecommerce & Retail,"Oblique sign to flat scan, glare removed, text exact"
high,IMG-VIEW-18,Viewing angle v3,Technical & corrective,Angled facade to a flat architectural elevation,image_edit,Ecommerce & Retail,Perspective to true orthographic elevation
high,IMG-VIEW-44,Viewing angle v3,Technical & corrective,Angled floor plan rectified to true plan view,image_edit,Ecommerce & Retail,"Floor-plan rectification — labels exact, no line added or lost"
high,IMG-VIEW-46,Viewing angle v3,Technical & corrective,Ultra-wide room to a natural focal length,image_edit,Ecommerce & Retail,"Ultra-wide to 35 mm perspective compression, same scene"
medium,IMG-LE-02,Existing 60 (already run in pairs A/B/C),Localised editing / object removal,Person removal from a group,image_edit,Ecommerce & Retail,Person removal and background reconstruction in a group; ~8.2 flat
medium,IMG-LE-03,Existing 60 (already run in pairs A/B/C),Localised editing / object removal,Colour change on one of several identical items,image_edit,Ecommerce & Retail,Recolour one of four identical items; ~8.7 flat
medium,IMG-LE-04,Existing 60 (already run in pairs A/B/C),Localised editing / object removal,Remove text from a surface,image_edit,Ecommerce & Retail,Text removal with brick-texture reconstruction; ~8.7
medium,IMG-LE-05,Existing 60 (already run in pairs A/B/C),Localised editing / object removal,Remove glare from glass,image_edit,Ecommerce & Retail,"Glare removal without altering artwork; GPT-low invalid, Lite 7.4"
medium,IMG-LE-06,Existing 60 (already run in pairs A/B/C),Localised editing / object removal,Object swap preserving lighting,image_edit,Ecommerce & Retail,Object swap keeping shadows and reflections; ~8.1 flat
medium,IMG-BRAND-03,Existing 60 (already run in pairs A/B/C),Product & brand imagery,Brand colour tolerance,image_edit,Ecommerce & Retail,Exact hex background; Gemini arms 8.3-8.7 in every pair
medium,IMG-BRAND-06,Existing 60 (already run in pairs A/B/C),Product & brand imagery,Reflective surface handling,image_edit,Ecommerce & Retail,Label legibility through reflections; Lite 8.5
medium,IMG-BRAND-08,Existing 60 (already run in pairs A/B/C),Product & brand imagery,Scale reference with a hand,image_edit,Ecommerce & Retail,Hand anatomy plus product proportions; ~8 across tiers
medium,IMG-STY-04,Existing 60 (already run in pairs A/B/C),Style transfer,Style consistency across a set,image_edit,Gaming,One style across four input photos
medium,IMG-STY-08,Existing 60 (already run in pairs A/B/C),Style transfer,Partial stylisation,image_edit,Gaming,"Partial stylisation with the subject untouched; Pro 6.8, Flash 8.1"
