scenario_id,model_id,kind,path,score,status
IMG-BRAND-01,,original_input (source),inputs/IMG-BRAND-01/IMG-BRAND-01-source.png,,frozen
IMG-BRAND-01,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-BRAND-01/gemini-3-1-flash-image-vertex.png,10.0,scored
IMG-BRAND-01,gpt-image-2-medium,output,outputs/image/IMG-BRAND-01/gpt-image-2-medium.png,10.0,scored
IMG-BRAND-02,,original_input (source),inputs/IMG-BRAND-02/IMG-BRAND-02-source.png,,frozen
IMG-BRAND-02,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-BRAND-02/gemini-3-1-flash-image-vertex.png,10.0,scored
IMG-BRAND-02,gpt-image-2-medium,output,outputs/image/IMG-BRAND-02/gpt-image-2-medium.png,10.0,scored
IMG-BRAND-03,,original_input (source),inputs/IMG-BRAND-03/IMG-BRAND-03-source.png,,frozen
IMG-BRAND-03,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-BRAND-03/gemini-3-1-flash-image-vertex.png,8.3889,scored
IMG-BRAND-03,gpt-image-2-medium,output,outputs/image/IMG-BRAND-03/gpt-image-2-medium.png,10.0,scored
IMG-BRAND-04,,original_input (source),inputs/IMG-BRAND-04/IMG-BRAND-04-source.png,,frozen
IMG-BRAND-04,,original_input (reference),inputs/IMG-BRAND-04/IMG-BRAND-04-reference.png,,frozen
IMG-BRAND-04,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-BRAND-04/gemini-3-1-flash-image-vertex.png,7.1833,scored
IMG-BRAND-04,gpt-image-2-medium,output,outputs/image/IMG-BRAND-04/gpt-image-2-medium.png,9.65,scored
IMG-BRAND-05,,original_input (source),inputs/IMG-BRAND-05/IMG-BRAND-05-source.png,,frozen
IMG-BRAND-05,,original_input (reference),inputs/IMG-BRAND-05/IMG-BRAND-05-reference.png,,frozen
IMG-BRAND-05,,original_input (reference2),inputs/IMG-BRAND-05/IMG-BRAND-05-reference2.png,,frozen
IMG-BRAND-05,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-BRAND-05/gemini-3-1-flash-image-vertex.png,6.9986,scored
IMG-BRAND-05,gpt-image-2-medium,output,outputs/image/IMG-BRAND-05/gpt-image-2-medium.png,7.6229,scored
IMG-BRAND-06,,original_input (source),inputs/IMG-BRAND-06/IMG-BRAND-06-source.png,,frozen
IMG-BRAND-06,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-BRAND-06/gemini-3-1-flash-image-vertex.png,10.0,scored
IMG-BRAND-06,gpt-image-2-medium,output,outputs/image/IMG-BRAND-06/gpt-image-2-medium.png,10.0,scored
IMG-BRAND-07,,original_input (source),inputs/IMG-BRAND-07/IMG-BRAND-07-source.png,,frozen
IMG-BRAND-07,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-BRAND-07/gemini-3-1-flash-image-vertex.png,10.0,scored
IMG-BRAND-07,gpt-image-2-medium,output,outputs/image/IMG-BRAND-07/gpt-image-2-medium.png,10.0,scored
IMG-BRAND-08,,original_input (source),inputs/IMG-BRAND-08/IMG-BRAND-08-source.png,,frozen
IMG-BRAND-08,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-BRAND-08/gemini-3-1-flash-image-vertex.png,8.3056,scored
IMG-BRAND-08,gpt-image-2-medium,output,outputs/image/IMG-BRAND-08/gpt-image-2-medium.png,9.7778,scored
IMG-BRAND-09,,original_input (source),inputs/IMG-BRAND-09/IMG-BRAND-09-source.png,,frozen
IMG-BRAND-09,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-BRAND-09/gemini-3-1-flash-image-vertex.png,9.8889,scored
IMG-BRAND-09,gpt-image-2-medium,output,outputs/image/IMG-BRAND-09/gpt-image-2-medium.png,9.7444,scored
IMG-BRAND-10,,original_input (source),inputs/IMG-BRAND-10/IMG-BRAND-10-source.png,,frozen
IMG-BRAND-10,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-BRAND-10/gemini-3-1-flash-image-vertex.png,8.6667,scored
IMG-BRAND-10,gpt-image-2-medium,output,outputs/image/IMG-BRAND-10/gpt-image-2-medium.png,,unjudged
IMG-CHAR-01,,original_input (source),inputs/IMG-CHAR-01/IMG-CHAR-01-source.png,,frozen
IMG-CHAR-01,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-CHAR-01/gemini-3-1-flash-image-vertex.png,10.0,scored
IMG-CHAR-01,gpt-image-2-medium,output,outputs/image/IMG-CHAR-01/gpt-image-2-medium.png,10.0,scored
IMG-CHAR-02,,original_input (source),inputs/IMG-CHAR-02/IMG-CHAR-02-source.png,,frozen
IMG-CHAR-02,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-CHAR-02/gemini-3-1-flash-image-vertex.png,10.0,scored
IMG-CHAR-02,gpt-image-2-medium,output,outputs/image/IMG-CHAR-02/gpt-image-2-medium.png,10.0,scored
IMG-CHAR-03,,original_input (source),inputs/IMG-CHAR-03/IMG-CHAR-03-source.png,,frozen
IMG-CHAR-03,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-CHAR-03/gemini-3-1-flash-image-vertex.png,10.0,scored
IMG-CHAR-03,gpt-image-2-medium,output,outputs/image/IMG-CHAR-03/gpt-image-2-medium.png,9.5,scored
IMG-CHAR-04,,original_input (source),inputs/IMG-CHAR-04/IMG-CHAR-04-source.png,,frozen
IMG-CHAR-04,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-CHAR-04/gemini-3-1-flash-image-vertex.png,10.0,scored
IMG-CHAR-04,gpt-image-2-medium,output,outputs/image/IMG-CHAR-04/gpt-image-2-medium.png,10.0,scored
IMG-CHAR-05,,original_input (source),inputs/IMG-CHAR-05/IMG-CHAR-05-source.png,,frozen
IMG-CHAR-05,,original_input (reference),inputs/IMG-CHAR-05/IMG-CHAR-05-reference.png,,frozen
IMG-CHAR-05,gemini-3-1-flash-image-vertex,output,outputs/image/IMG-CHAR-05/gemini-3-1-flash-image-vertex.png,9.9,scored
IMG-CHAR-05,gpt-image-2-medium,output,outputs/image/IMG-CHAR-05/gpt-image-2-medium.png,10.0,scored
IMG-CHAR-06,,original_input (source),inputs/IMG-CHAR-06/IMG-CHAR-06-source.png,,frozen
